iter	Passed	Remaining
0	129	129335
1	131	65844
2	133	44511
3	136	33945
4	138	27573
5	140	23316
6	142	20262
7	144	17958
8	146	16084
9	147	14634
10	149	13470
11	151	12454
12	153	11664
13	154	10880
14	155	10212
15	156	9625
16	157	9118
17	158	8660
18	160	8296
19	162	7946
20	163	7636
21	164	7323
22	166	7074
23	167	6804
24	168	6553
25	168	6327
26	169	6113
27	170	5914
28	171	5733
29	172	5562
30	172	5404
31	173	5250
32	174	5108
33	175	4977
34	175	4849
35	176	4731
36	177	4615
37	177	4505
38	178	4397
39	178	4294
40	179	4196
41	180	4111
42	180	4025
43	181	3945
44	182	3866
45	182	3791
46	183	3716
47	183	3644
48	184	3575
49	184	3509
50	185	3451
51	186	3395
52	186	3338
53	187	3284
54	188	3231
55	188	3178
56	189	3127
57	189	3078
58	190	3034
59	190	2991
60	191	2951
61	192	2910
62	192	2868
63	193	2828
64	193	2790
65	194	2752
66	195	2717
67	195	2679
68	196	2646
69	196	2614
70	197	2581
71	197	2550
72	198	2519
73	198	2489
74	199	2459
75	199	2430
76	200	2401
77	201	2376
78	201	2351
79	202	2327
80	203	2304
81	203	2278
82	204	2254
83	204	2230
84	204	2205
85	205	2182
86	205	2157
87	206	2137
88	207	2119
89	207	2099
90	208	2080
91	208	2060
92	209	2040
93	209	2022
94	210	2004
95	211	1987
96	211	1971
97	212	1958
98	213	1941
99	214	1926
100	214	1909
101	214	1891
102	215	1875
103	216	1861
104	216	1845
105	217	1831
106	217	1818
107	218	1804
108	219	1793
109	219	1779
110	220	1765
111	221	1752
112	221	1739
113	222	1726
114	222	1714
115	223	1702
116	223	1690
117	224	1678
118	225	1666
119	225	1654
120	226	1642
121	226	1630
122	226	1617
123	227	1605
124	227	1594
125	228	1585
126	229	1575
127	229	1564
128	230	1554
129	230	1544
130	231	1534
131	231	1524
132	232	1514
133	232	1504
134	233	1495
135	234	1487
136	234	1478
137	235	1469
138	235	1460
139	236	1451
140	236	1442
141	237	1434
142	237	1425
143	238	1417
144	239	1411
145	239	1403
146	240	1395
147	241	1387
148	241	1379
149	242	1371
150	242	1363
151	243	1356
152	243	1349
153	244	1342
154	245	1335
155	245	1328
156	246	1322
157	246	1315
158	247	1308
159	248	1302
160	248	1295
161	249	1288
162	249	1282
163	250	1276
164	251	1270
165	251	1264
166	252	1259
167	252	1252
168	253	1246
169	253	1239
170	254	1232
171	254	1226
172	255	1221
173	256	1216
174	256	1211
175	257	1205
176	258	1199
177	258	1194
178	259	1188
179	259	1182
180	259	1175
181	260	1170
182	261	1165
183	261	1160
184	262	1155
185	262	1149
186	263	1144
187	263	1139
188	264	1134
189	264	1128
190	265	1123
191	265	1119
192	266	1114
193	267	1110
194	267	1105
195	268	1100
196	268	1096
197	269	1091
198	269	1086
199	270	1081
200	270	1076
201	271	1073
202	272	1069
203	273	1066
204	273	1062
205	274	1057
206	274	1053
207	275	1048
208	275	1044
209	276	1039
210	277	1036
211	277	1032
212	278	1028
213	279	1024
214	279	1020
215	280	1016
216	280	1012
217	281	1008
218	281	1004
219	282	1000
220	282	996
221	283	993
222	284	989
223	284	986
224	285	982
225	285	978
226	286	974
227	286	971
228	287	968
229	288	965
230	289	962
231	289	958
232	290	955
233	290	951
234	291	948
235	291	944
236	292	941
237	292	938
238	293	935
239	294	931
240	294	928
241	295	925
242	295	921
243	296	918
244	296	915
245	297	911
246	298	908
247	298	906
248	299	904
249	300	901
250	301	898
251	301	895
252	302	892
253	302	888
254	303	885
255	303	882
256	304	880
257	305	877
258	305	874
259	306	871
260	306	867
261	306	864
262	307	861
263	307	858
264	308	855
265	309	852
266	309	850
267	310	847
268	310	845
269	311	842
270	312	839
271	312	836
272	313	834
273	313	831
274	314	828
275	314	825
276	315	823
277	316	820
278	316	818
279	317	815
280	317	812
281	318	810
282	318	807
283	319	804
284	319	802
285	320	800
286	321	798
287	321	796
288	322	793
289	323	790
290	323	788
291	324	785
292	324	782
293	325	780
294	325	778
295	326	776
296	327	774
297	327	771
298	328	769
299	328	766
300	329	764
301	329	761
302	330	759
303	330	757
304	331	755
305	332	753
306	332	750
307	333	748
308	333	746
309	334	744
310	334	741
311	335	739
312	336	737
313	336	736
314	337	734
315	338	731
316	338	729
317	339	727
318	339	725
319	340	722
320	340	721
321	341	719
322	342	717
323	342	715
324	343	713
325	344	711
326	344	708
327	344	706
328	345	704
329	345	702
330	346	700
331	347	698
332	347	696
333	348	694
334	349	692
335	349	690
336	350	688
337	350	686
338	351	684
339	351	682
340	352	681
341	353	680
342	354	678
343	354	676
344	355	674
345	355	672
346	356	670
347	356	668
348	357	666
349	357	664
350	358	663
351	359	661
352	360	659
353	360	657
354	361	656
355	361	653
356	362	652
357	362	650
358	363	648
359	364	647
360	364	645
361	365	643
362	365	641
363	366	639
364	366	637
365	367	636
366	367	634
367	368	632
368	369	631
369	369	629
370	370	627
371	370	626
372	371	624
373	372	622
374	372	621
375	373	619
376	374	618
377	374	616
378	375	614
379	375	612
380	376	611
381	376	609
382	377	607
383	377	606
384	378	604
385	379	603
386	379	601
387	380	599
388	380	598
389	381	596
390	382	595
391	382	593
392	383	591
393	383	590
394	384	588
395	385	588
396	386	586
397	386	585
398	387	583
399	387	581
400	388	580
401	388	578
402	389	577
403	390	575
404	391	574
405	391	573
406	392	571
407	392	570
408	393	568
409	394	566
410	394	565
411	395	563
412	396	562
413	396	561
414	397	559
415	397	558
416	398	556
417	398	555
418	399	553
419	400	552
420	400	551
421	401	549
422	402	548
423	402	546
424	403	545
425	403	543
426	404	542
427	404	541
428	405	539
429	405	538
430	406	536
431	407	535
432	407	533
433	408	532
434	408	531
435	409	529
436	409	528
437	410	526
438	411	525
439	411	524
440	412	522
441	413	521
442	413	520
443	414	518
444	414	517
445	415	515
446	415	514
447	416	513
448	417	511
449	417	510
450	418	509
451	418	507
452	419	506
453	420	505
454	420	503
455	421	502
456	421	500
457	422	499
458	423	498
459	423	497
460	424	496
461	424	494
462	425	493
463	425	492
464	426	490
465	427	489
466	427	488
467	428	487
468	429	485
469	429	484
470	430	483
471	430	481
472	431	480
473	431	478
474	432	477
475	432	476
476	433	475
477	434	474
478	434	472
479	435	471
480	435	470
481	436	468
482	436	467
483	437	466
484	437	464
485	438	463
486	439	462
487	439	461
488	440	460
489	440	458
490	441	457
491	441	456
492	442	454
493	442	453
494	443	452
495	444	451
496	444	450
497	445	448
498	445	447
499	446	446
500	446	445
501	447	443
502	448	442
503	448	441
504	449	440
505	450	439
506	450	438
507	451	437
508	451	435
509	454	436
510	455	435
511	456	435
512	457	434
513	458	433
514	459	432
515	461	433
516	462	432
517	463	431
518	464	430
519	466	431
520	467	430
521	468	429
522	469	428
523	470	427
524	470	425
525	471	424
526	472	423
527	472	422
528	473	421
529	474	420
530	475	420
531	476	419
532	477	418
533	478	417
534	479	416
535	479	415
536	480	414
537	481	413
538	482	412
539	482	411
540	483	409
541	483	408
542	484	407
543	484	406
544	485	405
545	485	403
546	486	403
547	487	402
548	488	400
549	488	399
550	489	398
551	489	397
552	490	396
553	490	395
554	491	393
555	491	392
556	492	391
557	493	390
558	493	389
559	494	388
560	494	387
561	495	386
562	495	384
563	496	383
564	496	382
565	497	381
566	498	380
567	499	379
568	499	378
569	500	377
570	500	376
571	501	374
572	501	373
573	502	372
574	502	371
575	503	370
576	504	369
577	504	368
578	505	367
579	505	366
580	506	365
581	506	363
582	507	362
583	507	361
584	508	360
585	509	359
586	509	358
587	510	357
588	511	356
589	511	355
590	512	354
591	512	353
592	513	352
593	514	351
594	515	350
595	515	349
596	516	348
597	516	347
598	517	346
599	517	345
600	518	344
601	519	343
602	519	342
603	520	341
604	521	340
605	521	339
606	522	338
607	522	337
608	523	336
609	523	334
610	524	333
611	525	332
612	525	331
613	526	330
614	527	329
615	527	328
616	528	327
617	528	326
618	529	325
619	530	325
620	530	324
621	531	323
622	532	321
623	532	320
624	533	319
625	533	318
626	534	317
627	534	316
628	535	315
629	536	314
630	536	313
631	537	312
632	537	311
633	538	310
634	539	309
635	539	308
636	540	307
637	540	306
638	541	306
639	542	305
640	542	304
641	543	303
642	544	302
643	544	301
644	545	300
645	545	299
646	546	298
647	547	297
648	547	296
649	548	295
650	548	294
651	549	293
652	550	292
653	550	291
654	551	290
655	552	289
656	552	288
657	553	287
658	553	286
659	554	285
660	555	284
661	555	283
662	556	282
663	556	281
664	557	280
665	558	279
666	558	279
667	559	278
668	560	277
669	560	276
670	561	275
671	561	274
672	562	273
673	563	272
674	563	271
675	564	270
676	564	269
677	565	268
678	566	267
679	566	266
680	567	265
681	567	264
682	568	263
683	569	262
684	569	262
685	570	261
686	570	260
687	571	259
688	572	258
689	572	257
690	573	256
691	574	255
692	574	254
693	575	253
694	575	252
695	576	251
696	576	250
697	577	249
698	578	248
699	578	248
700	579	247
701	580	246
702	580	245
703	581	244
704	581	243
705	582	242
706	582	241
707	583	240
708	584	239
709	584	238
710	585	237
711	585	236
712	586	236
713	586	235
714	587	234
715	587	233
716	588	232
717	589	231
718	589	230
719	590	229
720	591	228
721	591	227
722	592	226
723	592	225
724	593	225
725	593	224
726	594	223
727	594	222
728	595	221
729	596	220
730	596	219
731	597	218
732	598	217
733	598	216
734	599	215
735	599	215
736	600	214
737	600	213
738	601	212
739	601	211
740	602	210
741	602	209
742	603	208
743	603	207
744	604	206
745	605	205
746	605	205
747	606	204
748	607	203
749	607	202
750	608	201
751	608	200
752	609	199
753	610	199
754	610	198
755	611	197
756	611	196
757	612	195
758	612	194
759	613	193
760	613	192
761	614	191
762	614	191
763	615	190
764	616	189
765	616	188
766	617	187
767	617	186
768	618	185
769	619	184
770	619	184
771	620	183
772	620	182
773	621	181
774	622	180
775	622	179
776	623	178
777	624	178
778	624	177
779	625	176
780	625	175
781	626	174
782	626	173
783	627	172
784	628	172
785	628	171
786	629	170
787	629	169
788	630	168
789	630	167
790	631	166
791	631	165
792	632	165
793	633	164
794	633	163
795	634	162
796	634	161
797	635	160
798	635	159
799	636	159
800	636	158
801	637	157
802	638	156
803	638	155
804	639	154
805	639	154
806	640	153
807	641	152
808	641	151
809	642	150
810	642	149
811	651	150
812	651	149
813	652	149
814	652	148
815	653	147
816	653	146
817	654	145
818	654	144
819	655	143
820	655	143
821	656	142
822	657	141
823	657	140
824	658	139
825	658	138
826	659	137
827	659	137
828	660	136
829	660	135
830	661	134
831	662	133
832	662	132
833	663	132
834	664	131
835	664	130
836	665	129
837	665	128
838	665	127
839	666	126
840	667	126
841	668	125
842	668	124
843	669	123
844	669	122
845	670	122
846	670	121
847	671	120
848	671	119
849	672	118
850	672	117
851	673	117
852	674	116
853	674	115
854	675	114
855	676	113
856	676	112
857	677	112
858	678	111
859	678	110
860	679	109
861	679	108
862	680	107
863	680	107
864	681	106
865	681	105
866	682	104
867	683	103
868	684	103
869	685	102
870	685	101
871	686	100
872	686	99
873	687	99
874	687	98
875	688	97
876	689	96
877	689	95
878	690	95
879	690	94
880	691	93
881	691	92
882	692	91
883	692	90
884	693	90
885	694	89
886	694	88
887	695	87
888	696	86
889	696	86
890	697	85
891	697	84
892	698	83
893	699	82
894	699	82
895	700	81
896	701	80
897	701	79
898	702	78
899	702	78
900	703	77
901	703	76
902	704	75
903	705	74
904	705	74
905	706	73
906	706	72
907	707	71
908	707	70
909	708	70
910	709	69
911	709	68
912	710	67
913	710	66
914	711	66
915	712	65
916	712	64
917	713	63
918	713	62
919	714	62
920	714	61
921	715	60
922	715	59
923	716	58
924	717	58
925	717	57
926	718	56
927	718	55
928	719	54
929	719	54
930	720	53
931	721	52
932	721	51
933	722	51
934	723	50
935	723	49
936	724	48
937	724	47
938	724	47
939	725	46
940	725	45
941	726	44
942	727	43
943	727	43
944	728	42
945	728	41
946	729	40
947	729	40
948	730	39
949	730	38
950	731	37
951	732	36
952	733	36
953	733	35
954	734	34
955	734	33
956	735	33
957	735	32
958	736	31
959	736	30
960	737	29
961	738	29
962	738	28
963	739	27
964	740	26
965	740	26
966	741	25
967	741	24
968	742	23
969	742	22
970	743	22
971	744	21
972	744	20
973	745	19
974	745	19
975	746	18
976	747	17
977	747	16
978	748	16
979	748	15
980	749	14
981	750	13
982	750	12
983	751	12
984	751	11
985	752	10
986	752	9
987	753	9
988	753	8
989	754	7
990	755	6
991	755	6
992	756	5
993	756	4
994	757	3
995	757	3
996	758	2
997	758	1
998	759	0
999	760	0
