iter	Passed	Remaining
0	0	825
1	1	640
2	1	617
3	2	588
4	2	572
5	3	565
6	3	554
7	4	558
8	5	571
9	5	572
10	6	563
11	6	556
12	7	550
13	7	545
14	8	538
15	8	534
16	9	534
17	9	534
18	10	534
19	10	538
20	11	535
21	12	533
22	12	532
23	13	530
24	13	530
25	14	530
26	14	528
27	15	525
28	15	522
29	15	516
30	16	514
31	17	517
32	17	517
33	18	515
34	18	516
35	19	516
36	19	515
37	20	511
38	20	507
39	21	506
40	21	505
41	22	505
42	22	506
43	23	508
44	23	508
45	24	508
46	25	507
47	25	505
48	26	504
49	26	503
50	27	503
51	27	504
52	28	503
53	28	502
54	29	504
55	29	503
56	30	502
57	30	501
58	31	501
59	31	501
60	32	501
61	33	500
62	33	499
63	34	498
64	34	498
65	35	498
66	35	498
67	36	497
68	36	494
69	37	493
70	37	492
71	38	490
72	38	490
73	39	489
74	39	485
75	39	484
76	40	484
77	40	484
78	41	485
79	42	485
80	42	484
81	43	484
82	43	484
83	44	483
84	44	482
85	45	481
86	45	480
87	46	479
88	46	478
89	47	478
90	47	478
91	48	477
92	48	477
93	49	476
94	49	475
95	50	475
96	51	475
97	51	477
98	52	476
99	52	476
100	53	475
101	53	475
102	54	474
103	55	474
104	55	474
105	55	472
106	56	471
107	57	471
108	57	471
109	57	468
110	58	467
111	58	466
112	59	465
113	59	465
114	60	465
115	61	465
116	61	465
117	62	464
118	62	463
119	63	463
120	63	461
121	64	461
122	64	460
123	65	460
124	65	460
125	66	459
126	66	459
127	67	458
128	67	458
129	68	458
130	68	457
131	69	455
132	69	454
133	70	454
134	70	453
135	71	453
136	72	453
137	72	453
138	73	452
139	73	452
140	74	451
141	74	450
142	75	449
143	75	449
144	76	448
145	76	448
146	77	447
147	77	447
148	78	447
149	79	448
150	79	448
151	80	447
152	80	447
153	81	447
154	81	446
155	82	445
156	82	444
157	83	444
158	83	444
159	84	444
160	85	444
161	85	444
162	86	444
163	87	443
164	87	443
165	88	442
166	88	441
167	89	441
168	89	440
169	90	440
170	90	440
171	91	439
172	91	439
173	92	439
174	93	438
175	93	438
176	94	437
177	94	436
178	95	436
179	95	436
180	96	435
181	96	435
182	97	434
183	97	434
184	98	433
185	99	433
186	99	432
187	100	432
188	100	431
189	101	430
190	101	430
191	102	429
192	102	429
193	103	429
194	103	428
195	104	427
196	104	426
197	105	426
198	105	425
199	106	424
200	106	424
201	107	423
202	107	422
203	108	421
